"ProductCode","ProductName","ProductVersion","OpSystemCode","MfgCode","Language","ApplicationType"
18435,"Family Pack 2009","2008","251","214","English","Multimedia,Office Suite"
18435,"Family Pack 2009","2008","252","214","English","Multimedia,Office Suite"
18435,"Family Pack 2009","2008","253","214","English","Multimedia,Office Suite"
18435,"Family Pack 2009","2008","254","214","English","Multimedia,Office Suite"
18436,"ACID Pro 6 Upgrade","2006","231","898","English","Music"
18436,"ACID Pro 6 Upgrade","2006","240","898","English","Music"
18437,"Wolfram Mathematica 6 Upgrade","6.0.2","190","1071","English","Mathematics"
18437,"Wolfram Mathematica 6 Upgrade","6.0.2","231","1071","English","Mathematics"
18438,"Kubuntu","8.04","51","1110","English","Operating System"
18439,"fluenz mandarin 1+2","2.0","231","1229","English","Language tutorial"
18439,"fluenz mandarin 1+2","2.0","237","1229","English","Language tutorial"
18440,"Windows Vista Home Premium with Service Pack 1","2008","189","609","English","Operating System"
18441,"Frontlines Fuel of War","2008","231","946","English","Game,Videogame"
18441,"Frontlines Fuel of War","2008","237","946","English","Game,Videogame"
18442,"Music Ace Deluxe","3.1.3","105","1102","English","Music"
18442,"Music Ace Deluxe","3.1.3","190","1102","English","Music"
18442,"Music Ace Deluxe","3.1.3","204","1102","English","Music"
18442,"Music Ace Deluxe","3.1.3","209","1102","English","Music"
18442,"Music Ace Deluxe","3.1.3","216","1102","English","Music"
18442,"Music Ace Deluxe","3.1.3","231","1102","English","Music"
18442,"Music Ace Deluxe","3.1.3","76","1102","English","Music"
18443,"Site Builder Powered By Web.com","1.0","205","313","English","Web Builder"
18443,"Site Builder Powered By Web.com","1.0","209","313","English","Web Builder"
18443,"Site Builder Powered By Web.com","1.0","238","313","English","Web Builder"
18443,"Site Builder Powered By Web.com","1.0","239","313","English","Web Builder"
18443,"Site Builder Powered By Web.com","1.0","240","313","English","Web Builder"
18443,"Site Builder Powered By Web.com","1.0","77","313","English","Web Builder"
18444,"SuSE LINUX Office Desktop","2002","51","924","English","Office Suite"
18445,"Adobe Flex Builder 3","3","128","36","English","Application development"
18445,"Adobe Flex Builder 3","3","231","36","English","Application development"
18445,"Adobe Flex Builder 3","3","76","36","English","Application development"
18446,"Windows Vista Ultimate with Service Pack 1","2008","189","609","English","Operating System"
18447,"NCH Software","N/A","190","1119","English","Multimedia"
18447,"NCH Software","N/A","194","1119","English","Multimedia"
18447,"NCH Software","N/A","204","1119","English","Multimedia"
18447,"NCH Software","N/A","231","1119","English","Multimedia"
18447,"NCH Software","N/A","237","1119","English","Multimedia"
18448,"Microsoft Visual Studio 2008 Standard Edition","2007","237","609","English","Visual Development"
18448,"Microsoft Visual Studio 2008 Standard Edition","2007","241","609","English","Visual Development"
18448,"Microsoft Visual Studio 2008 Standard Edition","2007","242","609","English","Visual Development"
18448,"Microsoft Visual Studio 2008 Standard Edition","2007","243","609","English","Visual Development"
18449,"Microsoft Expression Media 2","2008","237","609","English","asset management"
18449,"Microsoft Expression Media 2","2008","241","609","English","asset management"
18450,"Obscure The Aftermath","c. 2007","190","1105","English","Game,Videogame"
18450,"Obscure The Aftermath","c. 2007","231","1105","English","Game,Videogame"
18450,"Obscure The Aftermath","c. 2007","237","1105","English","Game,Videogame"
18451,"Overclocked A History of Violence","DPV 1.0","190","1113","English","Game,Videogame"
18451,"Overclocked A History of Violence","DPV 1.0","231","1113","English","Game,Videogame"
18451,"Overclocked A History of Violence","DPV 1.0","237","1113","English","Game,Videogame"
18452,"TurboCAD 15 Deluxe 2D/3D","15","231","430","English","Graphic/Drawing,Modeling Software"
18452,"TurboCAD 15 Deluxe 2D/3D","15","237","430","English","Graphic/Drawing,Modeling Software"
18452,"TurboCAD 15 Deluxe 2D/3D","15","240","430","English","Graphic/Drawing,Modeling Software"
18453,"Toast 9 Titanium","2008","245","825","English","CD Burning"
18453,"Toast 9 Titanium","2008","247","825","English","CD Burning"
18454,"Windows Vista Home Basic with Service Pack 1","X14-29178-01","189","609","English","Operating System"
18456,"Windows Vista Business","X14-29409-01","251","609","English","Operating System"
18457,"Diner Dash Hometown Hero","2008","231","313","English","Game,Videogame"
18457,"Diner Dash Hometown Hero","2008","237","313","English","Game,Videogame"
18457,"Diner Dash Hometown Hero","2008","86","313","English","Game,Videogame"
18458,"Ubuntu 7.10 DVD for your PC","7.10","51","1110","English","Operating System"
18459,"The Experiment","DPV 1.0","231","959","English","Game,Videogame"
18459,"The Experiment","DPV 1.0","237","959","English","Game,Videogame"
18460,"Turning Point Fall of Liberty","2006","231","185","English","Game,Videogame"
18460,"Turning Point Fall of Liberty","2006","237","185","English","Game,Videogame"
18461,"The Sims 2 Free Time Expansion Pack","2008","204","293","English","Game,Videogame"
18461,"The Sims 2 Free Time Expansion Pack","2008","209","293","English","Game,Videogame"
18461,"The Sims 2 Free Time Expansion Pack","2008","231","293","English","Game,Videogame"
18462,"Poser Pro Professional 3D Figure Design & Animation","2008","231","873","English","3D Landscaping amd Animation"
18462,"Poser Pro Professional 3D Figure Design & Animation","2008","237","873","English","3D Landscaping amd Animation"
18462,"Poser Pro Professional 3D Figure Design & Animation","2008","245","873","English","3D Landscaping amd Animation"
18462,"Poser Pro Professional 3D Figure Design & Animation","2008","247","873","English","3D Landscaping amd Animation"
18463,"Sound Forge 9","2008","231","898","English","Audio Editing"
18463,"Sound Forge 9","2008","237","898","English","Audio Editing"
18463,"Sound Forge 9","2008","240","898","English","Audio Editing"
18464,"iRemember Digital Scrapbooking","2006","256","1116","English","Picture Editor/Viewer"
18465,"Jax For iPod","2007","247","1114","English","ipod software"
18466,"Adventure Workshop Toddler 9th Edition","9th Edition","237","963","English","Educational"
18466,"Adventure Workshop Toddler 9th Edition","9th Edition","241","963","English","Educational"
18468,"Readiris Pro 11","11.1","190","426","Arabic,Bulgarian,Chinese-Simplified,Chinese-Traditional,Czech,Dutch,English,Finnish,French,German,Greek,Hebrew,Italian,Japanese,Korean,Norwegian","Conversion Tool,OCR"
18468,"Readiris Pro 11","11.1","205","426","Arabic,Bulgarian,Chinese-Simplified,Chinese-Traditional,Czech,Dutch,English,Finnish,French,German,Greek,Hebrew,Italian,Japanese,Korean,Norwegian","Conversion Tool,OCR"
18468,"Readiris Pro 11","11.1","209","426","Arabic,Bulgarian,Chinese-Simplified,Chinese-Traditional,Czech,Dutch,English,Finnish,French,German,Greek,Hebrew,Italian,Japanese,Korean,Norwegian","Conversion Tool,OCR"
18468,"Readiris Pro 11","11.1","216","426","Arabic,Bulgarian,Chinese-Simplified,Chinese-Traditional,Czech,Dutch,English,Finnish,French,German,Greek,Hebrew,Italian,Japanese,Korean,Norwegian","Conversion Tool,OCR"
18468,"Readiris Pro 11","11.1","231","426","Arabic,Bulgarian,Chinese-Simplified,Chinese-Traditional,Czech,Dutch,English,Finnish,French,German,Greek,Hebrew,Italian,Japanese,Korean,Norwegian","Conversion Tool,OCR"
18469,"The Flash Ad Creator","c. 1994, 1996","190","1106","English","flash animation"
18469,"The Flash Ad Creator","c. 1994, 1996","204","1106","English","flash animation"
18469,"The Flash Ad Creator","c. 1994, 1996","209","1106","English","flash animation"
18469,"The Flash Ad Creator","c. 1994, 1996","231","1106","English","flash animation"
18469,"The Flash Ad Creator","c. 1994, 1996","77","1106","English","flash animation"
18470,"Windows Vista Home Premium","X12-59349-01","249","609","Arabic","Operating System"
18471,"Billings","1999-2007","247","1118","English","Accounting,Financial"
18472,"CorelDraw Graphics Suite X4","X4","237","214","English","Graphic/Drawing"
18472,"CorelDraw Graphics Suite X4","X4","241","214","English","Graphic/Drawing"
18473,"Intellimover Transfer Your PC Deluxe","2004","190","673","English","data transfer"
